participant_id,parameter,posterior_mean,hdi_low,hdi_high
P148,omega_3,-6.0034255137376284,-6.285152365718794,-5.740330331188872
P149,omega_3,-19.726024112282843,-1422.8096668641285,1627.1323726527594
P150,omega_3,-6.010014312672883,-6.288198122215617,-5.73295160685987
P151,omega_3,-6.007000792896323,-6.302662468858408,-5.686966469857859
P152,omega_3,-6.002530917533765,-6.424063063392989,-5.624235608550734
P153,omega_3,-6.003467602256184,-6.28658800148714,-5.721653579709358
P154,omega_3,-5.996273076392515,-6.275284744687638,-5.702639757444962
P155,omega_3,112.40305821309306,-4559.3462900863315,4587.0898146620675
P156,omega_3,99.69972541660894,-10500.920071576831,10895.420640917844
P157,omega_3,-6.015430642602307,-6.439930033438438,-5.588855129436244
P158,omega_3,-6.011090174659498,-6.323285932325315,-5.7027533523140725
P159,omega_3,-137.47851719343342,-6381.262977730911,6627.043183828049
P000,kappa,0.9837447224076132,-0.7361918204329865,2.5630475311600343
P001,kappa,0.9517217872327794,-0.8145799077019993,2.5062075611877934
P002,kappa,0.9432904320422798,-1.0123555760326157,2.416850864164956
P003,kappa,0.9629814097497404,-0.6595471658489986,2.5754644191390237
P004,kappa,0.9954649399372933,-0.47035998510701904,2.7827144344799457
P005,kappa,1.0160773746863578,-0.7434359470189452,2.5882882698824883
P006,kappa,0.982202888549596,-0.6481426823249159,2.571876153705757
P007,kappa,0.9503016041647868,-0.5758285303783721,2.7259456739938175
P008,kappa,0.9566060560100911,-0.7901620718424872,2.5118587946841657
P009,kappa,0.9551556569740335,-0.6923964139996714,2.5987325342309004
P010,kappa,0.9850416296671674,-0.5494960390212444,2.751355805688414
P011,kappa,0.9623660068507803,-0.5913561879199492,2.657883737197521
P012,kappa,0.9779176183649605,-0.6820245123106148,2.6746712195841207
P013,kappa,0.9770608227096054,-0.6297239593634892,2.4875352369266035
P014,kappa,0.9843723946925012,-0.6127092851228638,2.6060210066392933
P015,kappa,0.9427472853295963,-0.6025848433880325,2.666475527587558
P016,kappa,0.9687255801463641,-0.8280638334547544,2.5691657479142056
P017,kappa,1.0613239642382912,-0.6075968202084852,2.7265573595109824
P018,kappa,0.9269985924460857,-0.6027070981218224,2.70825482178773
P019,kappa,1.016048215888689,-0.6703225065986304,2.66781405216413
P020,kappa,0.9519066069075335,-0.6220823815883056,2.690418878744765
P021,kappa,1.0019168862916794,-0.7058223148810494,2.8738871333054776
P022,kappa,0.95788461055236,-0.8590044294052225,2.578961074305313
P023,kappa,0.9736833899393523,-0.6106185716695551,2.6952004491258466
P024,kappa,1.0153284599347385,-0.6170934804326047,2.729499563716491
P025,kappa,0.9798813365916577,-0.6082604047675609,2.765685326519203
P026,kappa,0.9761904522977786,-0.7249340402267977,2.564539912404246
P027,kappa,0.9476855336523435,-0.7125301385002982,2.6675079514772975
P028,kappa,0.9522038563650893,-0.7207716780570494,2.641103557152685
P029,kappa,0.9333213765228693,-0.6989262335814616,2.556170248000347
P030,kappa,0.9778401063856604,-0.858029082049538,2.5865007044172144
P031,kappa,1.0044091814554679,-0.7392715564949839,2.445692145919166
P032,kappa,1.0009987067295687,-0.7681979901024292,2.5308219360129955
P033,kappa,0.9641638607176756,-0.8052150075852964,2.5909504346296988
P034,kappa,0.9968414895269282,-0.6446605922749561,2.662610313720858
P035,kappa,0.909051339631813,-0.6944624539838343,2.681369053804241
P036,kappa,0.9393426282413706,-0.7477840185574722,2.603256449726139
P037,kappa,1.0191841067002405,-0.7564646625266359,2.709295938875158
P038,kappa,1.0020609431903797,-0.6655719724605941,2.8490174302959184
P039,kappa,0.9741472014478135,-0.628887942035452,2.6078021836428076
P040,kappa,0.9743972287757263,-0.668154648173985,2.557579601713877
P041,kappa,0.9542602368648406,-0.7625397048312466,2.5399655438938744
P042,kappa,1.0017534388266545,-0.5835031895301108,2.6259488357494254
P043,kappa,0.9359922437984041,-0.9200609798602318,2.513824780311592
P044,kappa,0.9697468820151619,-0.7346051453394276,2.5540928149149664
P045,kappa,0.9875029116467764,-0.5634875854357281,2.7601856985639546
P046,kappa,1.0647748488834667,-0.5432495564365194,2.8506348772249606
P047,kappa,0.9744122734845104,-0.6692718909323391,2.6945139134146467
P048,kappa,0.975814357755642,-0.5673103247007986,2.7395792058417836
P049,kappa,0.9539372958535824,-0.6904204621816644,2.646768668677512
P050,kappa,1.0000217769469015,-0.8130409986387571,2.650241188108536
P051,kappa,0.9986312823924336,-0.46545497464565533,2.8691930508251065
P052,kappa,0.9768063706960407,-0.576577232579776,2.5753137022225348
P053,kappa,0.9643543490109123,-0.584049836062525,2.6854711858480553
P054,kappa,0.9761818415158309,-0.7406105461354892,2.6791658672450276
P055,kappa,0.9357853669902755,-0.698804670499022,2.6841194905079746
P056,kappa,1.011385984936498,-0.7584511683343045,2.58032389082037
P057,kappa,0.9795263058785717,-0.5787069743427775,2.70195489179894
P058,kappa,1.0003406315436953,-0.5813164865258046,2.8148153416816206
P059,kappa,0.8787940951632556,-0.785115324955037,2.6331018660734795
P060,kappa,1.0087222888644196,-0.6403886068102558,2.6983609301815594
P061,kappa,0.9575559371617295,-0.6320466108025837,2.682424255211271
P062,kappa,0.9956791219737712,-0.6730041771651512,2.6159526210071125
P063,kappa,0.9745722953008913,-0.8863270617046759,2.53247096947942
P064,kappa,1.0129135010074677,-0.73521125141211,2.6809420728313915
P065,kappa,1.0113312864672084,-0.6208586001911403,2.6455760798384818
P066,kappa,0.9575845621298689,-0.5189617213789193,2.9841199769186106
P067,kappa,0.9691860138897742,-0.765805367958381,2.625694583982609
P068,kappa,0.9671124148875708,-0.6225066073526727,2.7638513322412703
P069,kappa,1.0004576135974594,-0.5772309929481799,2.6412137230393813
P070,kappa,0.9762817889802535,-0.5897739870252676,2.45796127719757
